2.534,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.54,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.546,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.553,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.991,udp,http,SF,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.766,udp,http,SF,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.551,udp,http,SF,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.339,tcp,http,SF,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.346,tcp,http,SF,74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.35,tcp,http,SF,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.355,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.361,tcp,http,SF,89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.607,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.051,udp,http,SF,225,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,235,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.57,tcp,http,SF,149,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2.815,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,27,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.8,udp,http,SF,371,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.805,udp,http,SF,316,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,204,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.004,udp,http,SF,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,243,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.077,udp,http,SF,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.19,udp,http,SF,265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.195,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.205,udp,http,SF,274,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,342,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.353,udp,http,SF,83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.023,udp,http,SF,293,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
6.001,udp,http,SF,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.743,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.749,udp,http,SF,1235,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.753,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.758,udp,http,SF,895,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.762,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.776,udp,http,SF,435,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.781,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,27,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.796,udp,http,SF,95,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,28,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.803,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,29,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.809,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,30,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.831,udp,http,SF,265,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,31,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.841,udp,http,SF,1065,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,32,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.845,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,33,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.854,udp,http,SF,1405,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,34,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.86,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.867,udp,http,SF,725,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,36,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.871,udp,http,SF,86,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,37,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.998,udp,http,SF,555,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.676,udp,http,SF,92,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.747,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.745,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.756,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.759,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.763,udp,http,SF,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.759,udp,http,SF,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.769,udp,http,SF,56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.774,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,4,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.777,udp,http,SF,70,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,5,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.781,udp,http,SF,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.784,udp,http,SF,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.788,udp,http,SF,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
5.791,udp,http,SF,125,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,4,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1.244,udp,http,SF,270,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,34,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1.248,udp,http,SF,212,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,35,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.12,tcp,http,SF,167,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,16,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.124,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.129,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,17,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.137,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,18,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.142,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,19,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.147,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,20,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.155,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.161,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,22,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.167,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,23,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.173,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,24,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.178,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,25,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.184,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,26,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.201,tcp,http,SF,620,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,27,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.209,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,28,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.214,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,29,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
3.008,udp,http,SF,262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,36,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,36,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1.068,udp,http,SF,166,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,36,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,180,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,1292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.016,udp,http,SF,1292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.023,udp,http,SF,121,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.03,udp,http,SF,305,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.036,udp,http,SF,260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.042,udp,http,SF,120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.011,tcp,http,SF,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,udp,http,SF,82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.008,udp,http,SF,1292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.0,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.008,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.015,tcp,http,SF,93,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.023,tcp,http,SF,1494,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,4,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.031,tcp,http,SF,1049,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,5,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.051,udp,http,SF,1292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,3,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.056,udp,http,SF,351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,4,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.062,udp,http,SF,976,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,5,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.066,udp,http,SF,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,6,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.314,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,7,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.318,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,8,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.322,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,9,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.327,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,10,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.332,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,11,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.337,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,12,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
4.341,tcp,http,SF,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,12,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.102,udp,http,SF,550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,7,0,0.0,0.0,0.0,1.0,0.0,0.0,10,10,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
